case_id,total_duration,num_events,unique_activities,mean_duration,std_duration,min_duration,max_duration,avg_gap,std_gap,num_unique_resources,senior_ratio,junior_ratio,has_loop,has_skip,missing_activities,extra_activities,wrong_order_ratio,is_anomaly,subtype
C0001,1380.0027771871887,5,5,276.00277718718866,123.54756169184401,120.0,480.0,4.25277718718864,1.299038105676658,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0002,1140.00496974926,5,5,228.0049697492599,69.9714227381436,120.0,300.0,2.254969749259923,0.82915619758885,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0003,1679.9991507882107,5,5,335.99915078821067,202.93841430345316,120.0,600.0,2.999150788210678,1.4142135623730951,2,0.4,0.6,0,0,0,0,0.0,0,dominant
C0004,1679.9872648529085,5,5,335.9872648529086,123.54756169184401,180.0,480.0,2.487264852908602,1.5,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0005,1919.9919816102824,5,5,383.99198161028255,163.65818036383027,120.0,600.0,3.4919816102825405,1.5,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0006,2160.0036090209774,5,5,432.0036090209772,198.63534428696218,240.0,780.0,3.2536090209772155,0.82915619758885,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0007,359.9940299859679,5,5,71.9940299859679,24.0,60.0,120.0,3.4940299859679023,1.5,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0008,480.00189296274317,5,5,96.00189296274316,48.0,60.0,180.0,1.251892962743162,0.4330127018922193,2,0.4,0.6,0,0,0,0,0.0,0,dominant
C0009,840.0092189915971,5,5,168.00921899159707,69.9714227381436,60.0,240.0,3.2592189915970775,0.82915619758885,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0010,1379.9731757636143,5,5,275.9731757636143,61.18823416311342,180.0,360.0,1.723175763614276,0.82915619758885,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0011,2160.0068128517737,5,5,432.0068128517736,241.19701490690136,240.0,900.0,2.2568128517735757,1.6393596310755,1,1.0,0.0,0,0,0,0,0.0,0,dominant
C0012,1499.9943167874987,5,5,299.9943167874987,107.33126291998991,180.0,420.0,4.744316787498686,0.4330127018922193,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0013,1679.99466566569,5,5,335.99466566569004,180.3995565404749,120.0,660.0,1.994665665690039,1.7320508075688772,1,1.0,0.0,0,0,0,0,0.0,0,dominant
C0014,1799.9994815606885,5,5,359.99948156068865,151.7893276880822,240.0,660.0,2.9994815606886247,1.4142135623730951,2,0.4,0.6,0,0,0,0,0.0,0,dominant
C0015,1979.9989301594414,5,5,395.9989301594414,226.4155471693585,120.0,600.0,3.7489301594413784,0.4330127018922193,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0016,780.0129874333282,5,5,156.01298743332825,104.61357464497617,60.0,360.0,3.2629874333282354,1.479019945774904,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0017,1979.9813663234024,5,5,395.9813663234025,129.24395537122808,240.0,600.0,2.73136632340251,1.479019945774904,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0018,1919.9999993877627,5,5,383.9999993877628,275.2162785883132,120.0,900.0,2.999999387762784,1.4142135623730951,1,1.0,0.0,0,0,0,0,0.0,0,dominant
C0019,2040.0093488124041,5,5,408.00934881240426,244.16387939250964,120.0,840.0,2.759348812404232,1.0897247358851685,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0020,1500.0028316967448,5,5,300.0028316967447,100.39920318408906,180.0,420.0,3.002831696744714,0.7071067811865476,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0021,1800.0024677691677,5,5,360.00246776916754,211.2818023399081,120.0,720.0,3.502467769167564,0.8660254037844386,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0022,1799.9942614076247,5,5,359.9942614076247,224.4994432064365,120.0,780.0,3.244261407624746,1.0897247358851685,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0023,4380.000413738822,5,5,876.0004137388224,618.436738882806,360.0,2040.0,3.0004137388224694,1.224744871391589,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0024,1560.0048936262917,5,5,312.00489362629185,109.98181667894016,120.0,420.0,3.504893626291839,0.5,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0025,2160.001961145549,5,5,432.00196114554893,252.85569006846572,180.0,900.0,2.751961145548951,1.0897247358851685,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0026,1980.0046452631145,5,5,396.0046452631145,269.9333251008478,120.0,900.0,2.7546452631145297,1.0897247358851685,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0027,1800.0045625809148,5,5,360.00456258091486,240.0,180.0,780.0,3.254562580914864,1.479019945774904,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0028,1859.9890633495374,5,5,371.9890633495374,232.0689552697646,120.0,780.0,2.73906334953739,1.299038105676658,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0029,1559.9975653330573,5,5,311.9975653330572,175.54486605993353,120.0,540.0,3.4975653330572136,1.6583123951777,2,0.4,0.6,0,0,0,0,0.0,0,dominant
C0030,2219.9933076280195,5,5,443.99330762801924,250.5673562138532,120.0,840.0,2.743307628019262,1.0897247358851685,2,0.4,0.6,0,0,0,0,0.0,0,dominant
C0031,480.00820169909025,5,5,96.00820169909025,48.0,60.0,180.0,2.758201699090254,1.299038105676658,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0032,1559.9901175138752,5,5,311.99011751387536,158.29087149927503,180.0,600.0,2.990117513875337,2.0,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0033,1560.0010268227702,5,5,312.00102682277014,183.56470248934025,120.0,600.0,4.751026822770167,0.4330127018922193,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0034,3959.9876275216993,5,5,791.9876275216993,333.8502658378453,540.0,1440.0,2.987627521699366,1.4142135623730951,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0035,2100.0133615735053,5,5,420.01336157350545,270.99815497526913,180.0,900.0,4.013361573505425,1.7320508075688772,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0036,1799.9968194450062,5,5,359.9968194450062,217.9908254950194,180.0,780.0,2.7468194450062473,1.299038105676658,2,0.4,0.6,0,0,0,0,0.0,0,dominant
C0037,1619.9928312906484,5,5,323.99283129064827,139.9428454762872,240.0,600.0,3.9928312906482737,1.0,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0038,1259.9868810180799,5,5,251.98688101807988,133.62634470792054,120.0,480.0,2.736881018079874,1.299038105676658,1,1.0,0.0,0,0,0,0,0.0,0,dominant
C0039,4859.998580178824,5,5,971.9985801788241,352.72652296077763,360.0,1440.0,3.7485801788241138,1.0897247358851685,2,0.4,0.6,0,0,0,0,0.0,0,dominant
C0040,4680.007919185774,5,5,936.0079191857741,495.6450342735212,480.0,1800.0,4.007919185774099,1.224744871391589,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0041,1560.002764590307,5,5,312.002764590307,116.34431657799189,240.0,540.0,2.502764590306973,0.8660254037844386,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0042,900.0033833391946,5,5,180.0033833391946,107.33126291998991,60.0,360.0,4.003383339194611,1.224744871391589,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0043,2040.008103247471,5,5,408.0081032474709,274.69255541423036,120.0,900.0,2.2581032474708724,1.299038105676658,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0044,1620.0020722814118,5,5,324.00207228141164,149.87995196156155,180.0,600.0,2.502072281411659,1.5,2,0.4,0.6,0,0,0,0,0.0,0,dominant
C0045,1680.0092518472095,5,5,336.0092518472095,111.28342194594845,180.0,480.0,2.759251847209493,1.299038105676658,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0046,1740.0143781167512,5,5,348.0143781167513,219.3080025899648,180.0,780.0,3.2643781167512627,1.479019945774904,2,0.4,0.6,0,0,0,0,0.0,0,dominant
C0047,1559.981249164948,5,5,311.9812491649478,148.91608375189028,180.0,600.0,2.9812491649478496,1.224744871391589,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0048,1799.996700935015,5,5,359.99670093501516,248.83729623993264,120.0,840.0,2.496700935015143,1.118033988749895,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0049,419.997090842423,5,5,83.99709084242302,29.393876913398138,60.0,120.0,1.2470908424230247,0.4330127018922193,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0050,4560.006365737284,5,5,912.0063657372841,512.4997560975029,600.0,1920.0,4.0063657372841215,1.224744871391589,2,0.4,0.6,0,0,0,0,0.0,0,dominant
C0051,1860.011003284939,5,5,372.0110032849391,274.69255541423036,120.0,900.0,4.261003284939102,0.82915619758885,1,1.0,0.0,0,0,0,0,0.0,0,dominant
C0052,1859.9960022530797,5,5,371.9960022530796,266.7133292507144,180.0,900.0,3.2460022530796127,1.299038105676658,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0053,479.99718753555464,5,5,95.99718753555463,48.0,60.0,180.0,3.997187535554636,1.224744871391589,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0054,2159.986606747808,5,5,431.98660674780785,264.0,180.0,900.0,4.486606747807856,0.5,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0055,2100.0000747979907,5,5,420.0000747979906,248.83729623993264,120.0,780.0,2.5000747979905675,1.5,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0056,1679.9973746169492,5,5,335.9973746169491,180.3995565404749,120.0,600.0,2.9973746169491045,1.224744871391589,1,1.0,0.0,0,0,0,0,0.0,0,dominant
C0057,3959.9801475869544,5,5,791.9801475869544,451.23829624711595,480.0,1680.0,3.4801475869544785,1.118033988749895,2,0.4,0.6,0,0,0,0,0.0,0,dominant
C0058,1859.9834628173396,5,5,371.9834628173396,225.77865266672134,120.0,720.0,2.733462817339593,1.299038105676658,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0059,2219.9990849291908,5,5,443.9990849291906,363.18590281011734,120.0,1080.0,2.4990849291905746,1.118033988749895,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0060,1860.0049473149552,5,5,372.00494731495525,167.14065932620943,180.0,600.0,3.0049473149552424,1.5811388300841898,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0061,1980.0039538522906,5,5,396.0039538522905,163.65818036383027,300.0,720.0,3.753953852290523,1.6393596310755,1,1.0,0.0,0,0,0,0,0.0,0,dominant
C0062,1739.9989308685842,5,5,347.9989308685842,138.9100428334827,120.0,540.0,3.2489308685842038,1.479019945774904,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0063,1620.0078784718667,5,5,324.0078784718667,144.99655168313487,180.0,600.0,3.2578784718667233,0.82915619758885,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0064,1559.9909268153283,5,5,311.9909268153282,219.3080025899648,120.0,720.0,3.7409268153282054,1.299038105676658,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0065,1800.0060532836987,5,5,360.0060532836987,75.8946638440411,240.0,420.0,4.256053283698665,0.82915619758885,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0066,2879.9880782390746,5,5,575.9880782390745,219.96363335788033,360.0,840.0,3.238078239074565,1.479019945774904,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0067,1680.0055584722068,5,5,336.00555847220687,235.762592452662,120.0,780.0,3.005558472206868,1.5811388300841898,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0068,1800.0011734113955,5,5,360.00117341139554,204.35263639111682,120.0,660.0,2.7511734113955213,0.4330127018922193,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0069,1980.0015570308956,5,5,396.0015570308957,216.66564102321345,120.0,660.0,2.0015570308956727,1.0,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0070,1499.98895096164,5,5,299.9889509616401,125.85706178041819,180.0,540.0,2.2389509616401213,1.6393596310755,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0071,1079.9983027552971,5,5,215.99830275529712,117.57550765359255,60.0,420.0,3.248302755297124,0.82915619758885,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0072,1560.0021341467734,5,5,312.00213414677336,116.34431657799189,240.0,540.0,1.502134146773348,0.8660254037844386,2,0.8,0.2,0,0,0,0,0.0,0,dominant
C0073,1859.9879544518008,5,5,371.9879544518008,179.5995545651492,180.0,660.0,2.737954451800817,1.479019945774904,2,0.6,0.4,0,0,0,0,0.0,0,dominant
C0074,539.9858495434244,5,5,107.98584954342431,69.9714227381436,60.0,240.0,1.4858495434243102,0.5,1,1.0,0.0,0,0,0,0,0.0,0,dominant
C0075,1860.0020114185672,5,5,372.0020114185673,219.3080025899648,120.0,780.0,3.002011418567282,1.5811388300841898,1,1.0,0.0,0,0,0,0,0.0,0,dominant
C0076,420.01413996159556,5,5,84.01413996159553,48.0,60.0,180.0,4.014139961595538,1.224744871391589,2,0.4,0.6,0,0,0,0,0.0,0,dominant
